,Account,Compound Score,Date,Negative Score,Neutral Score,Positive Score,Tweet Text
0,@BBCNews,0.0,11/26/2017,0.0,1.0,0.0,Sailors to perform Changing the Guard in historic first https://t.co/CDnbWCDVXi
1,@BBCNews,0.2263,11/26/2017,0.138,0.642,0.22,Brexit: Ireland 'to play tough' over talks - commissioner https://t.co/MkzWFhDYSD
2,@BBCNews,0.4215,11/26/2017,0.0,0.781,0.219,UK drone users to sit safety tests under new law https://t.co/VsVvvhikjF
3,@BBCNews,-0.2023,11/25/2017,0.205,0.795,0.0,"Heathrow worker charged over £700,000 cocaine find https://t.co/2nG993wQRg"
4,@BBCNews,0.0,11/25/2017,0.0,1.0,0.0,Liverpool police officer hit by van in Norris Green https://t.co/orHr2a7OTZ
5,@BBCNews,-0.6369,11/25/2017,0.426,0.574,0.0,"Claw hammer attack victim, 96, facing 'long' recovery https://t.co/pzv8fi8TpV"
6,@BBCNews,-0.4767,11/25/2017,0.341,0.659,0.0,Two men arrested after triple stabbing https://t.co/kxbnuCrCHE
7,@BBCNews,0.4391,11/25/2017,0.0,0.888,0.112,"RT @BBCSport: HT Liverpool 0-0 Chelsea 

Liverpool have had more of the ball, Chelsea have had more opportunities &amp; Mo Salah has looked liv…"
8,@BBCNews,-0.8402,11/25/2017,0.348,0.652,0.0,Girl gets final flowers on her 21st from dad who died from cancer five years ago https://t.co/V7wKsdSCj9
9,@BBCNews,0.0,11/25/2017,0.0,1.0,0.0,RT @BBCSport: Get involved! #WALvNZL https://t.co/VX3h92G9Ey
10,@BBCNews,0.7964,11/25/2017,0.0,0.728,0.272,"RT @BBCSport: 48-14

It's a comfortable win as the clock goes red at Twickenham. 

Rokoduguni carries England home with their seventh https…"
11,@BBCNews,-0.1007,11/25/2017,0.117,0.746,0.137,"RT @BBCSport: FT Man Utd 1-0 Brighton 

#MUFC needed a huge deflection to win it, but they won't care.

39 home games unbeaten in all compe…"
12,@BBCNews,0.75,11/25/2017,0.0,0.67,0.33,"RT @BBCSport: FT Crystal Palace 2-1 Stoke 

It's a huge win for #CPFC!  https://t.co/BipPngxfuQ #CRYSTK https://t.co/ZjHw7mmGSc"
13,@BBCNews,0.4767,11/25/2017,0.0,0.563,0.437,A thrilling display from Scotland ? https://t.co/hFFCiOoaHS
